Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Source Well,volume,,Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Destination Well,volume,Transfer Volume
47,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,47,D,Output1,2,2,3,96 Well Microplate,10,B2,2,25
48,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,48,D,Output1,2,2,3,96 Well Microplate,10,B2,2,25
49,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,49,D,Output1,2,2,3,96 Well Microplate,10,B2,2,25
50,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,50,D,Output1,2,2,3,96 Well Microplate,10,B2,2,25
51,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,51,D,Output1,2,2,3,96 Well Microplate,11,C2,2,25
52,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,52,D,Output1,2,2,3,96 Well Microplate,11,C2,2,25
53,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,53,D,Output1,2,2,3,96 Well Microplate,11,C2,2,25
54,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,54,D,Output1,2,2,3,96 Well Microplate,11,C2,2,25
55,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,55,D,Output1,2,2,3,96 Well Microplate,11,C2,2,25
56,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,56,D,Output1,2,2,3,96 Well Microplate,12,D2,2,25
57,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,57,D,Output1,2,2,3,96 Well Microplate,12,D2,2,25
58,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,58,D,Output1,2,2,3,96 Well Microplate,12,D2,2,25
59,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,59,D,Output1,2,2,3,96 Well Microplate,12,D2,2,25
60,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,60,D,Output1,2,2,3,96 Well Microplate,12,D2,2,25
61,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,61,D,Output1,2,2,3,96 Well Microplate,13,E2,2,25
62,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,62,D,Output1,2,2,3,96 Well Microplate,13,E2,2,25
63,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,63,D,Output1,2,2,3,96 Well Microplate,13,E2,2,25
64,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,64,D,Output1,2,2,3,96 Well Microplate,13,E2,2,25
65,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,65,D,Output1,2,2,3,96 Well Microplate,13,E2,2,25
66,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,66,D,Output1,2,2,3,96 Well Microplate,14,F2,2,25
67,A,SetupPlate1,1,1,3,96 Well Microplate,3,C1,2,,67,D,Output1,2,2,3,96 Well Microplate,14,F2,2,25
