Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Source Well,volume,,Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Destination Well,volume,Transfer Volume
204,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,204,D,Output1,2,2,3,96 Well Microplate,41,A6,2,25
205,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,205,D,Output1,2,2,3,96 Well Microplate,41,A6,2,25
206,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,206,D,Output1,2,2,3,96 Well Microplate,42,B6,2,25
207,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,207,D,Output1,2,2,3,96 Well Microplate,42,B6,2,25
208,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,208,D,Output1,2,2,3,96 Well Microplate,42,B6,2,25
209,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,209,D,Output1,2,2,3,96 Well Microplate,42,B6,2,25
210,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,210,D,Output1,2,2,3,96 Well Microplate,42,B6,2,25
211,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,211,D,Output1,2,2,3,96 Well Microplate,43,C6,2,25
212,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,212,D,Output1,2,2,3,96 Well Microplate,43,C6,2,25
213,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,213,D,Output1,2,2,3,96 Well Microplate,43,C6,2,25
214,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,214,D,Output1,2,2,3,96 Well Microplate,43,C6,2,25
215,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,215,D,Output1,2,2,3,96 Well Microplate,43,C6,2,25
216,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,216,D,Output1,2,2,3,96 Well Microplate,44,D6,2,25
217,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,217,D,Output1,2,2,3,96 Well Microplate,44,D6,2,25
218,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,218,D,Output1,2,2,3,96 Well Microplate,44,D6,2,25
219,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,219,D,Output1,2,2,3,96 Well Microplate,44,D6,2,25
220,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,220,D,Output1,2,2,3,96 Well Microplate,44,D6,2,25
221,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,221,D,Output1,2,2,3,96 Well Microplate,45,E6,2,25
222,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,222,D,Output1,2,2,3,96 Well Microplate,45,E6,2,25
223,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,223,D,Output1,2,2,3,96 Well Microplate,45,E6,2,25
224,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,224,D,Output1,2,2,3,96 Well Microplate,45,E6,2,25
225,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,225,D,Output1,2,2,3,96 Well Microplate,45,E6,2,25
226,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,226,D,Output1,2,2,3,96 Well Microplate,46,F6,2,25
227,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,227,D,Output1,2,2,3,96 Well Microplate,46,F6,2,25
228,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,228,D,Output1,2,2,3,96 Well Microplate,46,F6,2,25
229,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,229,D,Output1,2,2,3,96 Well Microplate,46,F6,2,25
230,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,230,D,Output1,2,2,3,96 Well Microplate,46,F6,2,25
231,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,231,D,Output1,2,2,3,96 Well Microplate,47,G6,2,25
232,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,232,D,Output1,2,2,3,96 Well Microplate,47,G6,2,25
233,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,233,D,Output1,2,2,3,96 Well Microplate,47,G6,2,25
234,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,234,D,Output1,2,2,3,96 Well Microplate,47,G6,2,25
235,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,235,D,Output1,2,2,3,96 Well Microplate,47,G6,2,25
236,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,236,D,Output1,2,2,3,96 Well Microplate,48,H6,2,25
237,A,SetupPlate1,1,1,3,96 Well Microplate,2,B1,2,,237,D,Output1,2,2,3,96 Well Microplate,48,H6,2,25
238,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,238,D,Output1,2,2,3,96 Well Microplate,48,H6,2,25
239,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,239,D,Output1,2,2,3,96 Well Microplate,48,H6,2,25
240,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,240,D,Output1,2,2,3,96 Well Microplate,48,H6,2,25
241,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,241,D,Output1,2,2,3,96 Well Microplate,49,A7,2,25
242,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,242,D,Output1,2,2,3,96 Well Microplate,49,A7,2,25
243,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,243,D,Output1,2,2,3,96 Well Microplate,49,A7,2,25
244,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,244,D,Output1,2,2,3,96 Well Microplate,49,A7,2,25
245,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,245,D,Output1,2,2,3,96 Well Microplate,49,A7,2,25
246,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,246,D,Output1,2,2,3,96 Well Microplate,50,B7,2,25
247,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,247,D,Output1,2,2,3,96 Well Microplate,50,B7,2,25
248,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,248,D,Output1,2,2,3,96 Well Microplate,50,B7,2,25
249,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,249,D,Output1,2,2,3,96 Well Microplate,50,B7,2,25
250,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,250,D,Output1,2,2,3,96 Well Microplate,50,B7,2,25
251,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,251,D,Output1,2,2,3,96 Well Microplate,51,C7,2,25
252,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,252,D,Output1,2,2,3,96 Well Microplate,51,C7,2,25
253,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,253,D,Output1,2,2,3,96 Well Microplate,51,C7,2,25
254,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,254,D,Output1,2,2,3,96 Well Microplate,51,C7,2,25
255,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,255,D,Output1,2,2,3,96 Well Microplate,51,C7,2,25
256,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,256,D,Output1,2,2,3,96 Well Microplate,52,D7,2,25
257,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,257,D,Output1,2,2,3,96 Well Microplate,52,D7,2,25
258,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,258,D,Output1,2,2,3,96 Well Microplate,52,D7,2,25
259,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,259,D,Output1,2,2,3,96 Well Microplate,52,D7,2,25
260,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,260,D,Output1,2,2,3,96 Well Microplate,52,D7,2,25
261,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,261,D,Output1,2,2,3,96 Well Microplate,53,E7,2,25
262,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,262,D,Output1,2,2,3,96 Well Microplate,53,E7,2,25
263,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,263,D,Output1,2,2,3,96 Well Microplate,53,E7,2,25
264,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,264,D,Output1,2,2,3,96 Well Microplate,53,E7,2,25
265,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,265,D,Output1,2,2,3,96 Well Microplate,53,E7,2,25
266,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,266,D,Output1,2,2,3,96 Well Microplate,54,F7,2,25
267,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,267,D,Output1,2,2,3,96 Well Microplate,54,F7,2,25
268,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,268,D,Output1,2,2,3,96 Well Microplate,54,F7,2,25
269,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,269,D,Output1,2,2,3,96 Well Microplate,54,F7,2,25
270,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,270,D,Output1,2,2,3,96 Well Microplate,54,F7,2,25
271,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,271,D,Output1,2,2,3,96 Well Microplate,55,G7,2,25
272,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,272,D,Output1,2,2,3,96 Well Microplate,55,G7,2,25
273,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,273,D,Output1,2,2,3,96 Well Microplate,55,G7,2,25
274,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,274,D,Output1,2,2,3,96 Well Microplate,55,G7,2,25
275,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,275,D,Output1,2,2,3,96 Well Microplate,55,G7,2,25
276,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,276,D,Output1,2,2,3,96 Well Microplate,56,H7,2,25
277,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,277,D,Output1,2,2,3,96 Well Microplate,56,H7,2,25
278,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,278,D,Output1,2,2,3,96 Well Microplate,56,H7,2,25
279,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,279,D,Output1,2,2,3,96 Well Microplate,56,H7,2,25
280,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,280,D,Output1,2,2,3,96 Well Microplate,56,H7,2,25
281,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,281,D,Output1,2,2,3,96 Well Microplate,57,A8,2,25
282,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,282,D,Output1,2,2,3,96 Well Microplate,57,A8,2,25
283,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,283,D,Output1,2,2,3,96 Well Microplate,57,A8,2,25
284,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,284,D,Output1,2,2,3,96 Well Microplate,57,A8,2,25
285,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,285,D,Output1,2,2,3,96 Well Microplate,57,A8,2,25
286,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,286,D,Output1,2,2,3,96 Well Microplate,58,B8,2,25
287,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,287,D,Output1,2,2,3,96 Well Microplate,58,B8,2,25
288,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,288,D,Output1,2,2,3,96 Well Microplate,58,B8,2,25
289,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,289,D,Output1,2,2,3,96 Well Microplate,58,B8,2,25
290,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,290,D,Output1,2,2,3,96 Well Microplate,58,B8,2,25
291,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,291,D,Output1,2,2,3,96 Well Microplate,59,C8,2,25
292,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,292,D,Output1,2,2,3,96 Well Microplate,59,C8,2,25
293,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,293,D,Output1,2,2,3,96 Well Microplate,59,C8,2,25
294,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,294,D,Output1,2,2,3,96 Well Microplate,59,C8,2,25
295,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,295,D,Output1,2,2,3,96 Well Microplate,59,C8,2,25
296,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,296,D,Output1,2,2,3,96 Well Microplate,60,D8,2,25
297,A,SetupPlate1,1,1,3,96 Well Microplate,4,D1,2,,297,D,Output1,2,2,3,96 Well Microplate,60,D8,2,25
298,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,298,D,Output1,2,2,3,96 Well Microplate,60,D8,2,25
299,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,299,D,Output1,2,2,3,96 Well Microplate,60,D8,2,25
300,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,300,D,Output1,2,2,3,96 Well Microplate,60,D8,2,25
301,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,301,D,Output1,2,2,3,96 Well Microplate,61,E8,2,25
302,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,302,D,Output1,2,2,3,96 Well Microplate,61,E8,2,25
303,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,303,D,Output1,2,2,3,96 Well Microplate,61,E8,2,25
304,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,304,D,Output1,2,2,3,96 Well Microplate,61,E8,2,25
305,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,305,D,Output1,2,2,3,96 Well Microplate,61,E8,2,25
306,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,306,D,Output1,2,2,3,96 Well Microplate,62,F8,2,25
307,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,307,D,Output1,2,2,3,96 Well Microplate,62,F8,2,25
308,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,308,D,Output1,2,2,3,96 Well Microplate,62,F8,2,25
309,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,309,D,Output1,2,2,3,96 Well Microplate,62,F8,2,25
310,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,310,D,Output1,2,2,3,96 Well Microplate,62,F8,2,25
311,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,311,D,Output1,2,2,3,96 Well Microplate,63,G8,2,25
312,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,312,D,Output1,2,2,3,96 Well Microplate,63,G8,2,25
313,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,313,D,Output1,2,2,3,96 Well Microplate,63,G8,2,25
314,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,314,D,Output1,2,2,3,96 Well Microplate,63,G8,2,25
315,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,315,D,Output1,2,2,3,96 Well Microplate,63,G8,2,25
316,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,316,D,Output1,2,2,3,96 Well Microplate,64,H8,2,25
317,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,317,D,Output1,2,2,3,96 Well Microplate,64,H8,2,25
318,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,318,D,Output1,2,2,3,96 Well Microplate,64,H8,2,25
319,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,319,D,Output1,2,2,3,96 Well Microplate,64,H8,2,25
320,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,320,D,Output1,2,2,3,96 Well Microplate,64,H8,2,25
321,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,321,D,Output1,2,2,3,96 Well Microplate,65,A9,2,25
322,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,322,D,Output1,2,2,3,96 Well Microplate,65,A9,2,25
323,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,323,D,Output1,2,2,3,96 Well Microplate,65,A9,2,25
324,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,324,D,Output1,2,2,3,96 Well Microplate,65,A9,2,25
325,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,325,D,Output1,2,2,3,96 Well Microplate,65,A9,2,25
326,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,326,D,Output1,2,2,3,96 Well Microplate,66,B9,2,25
327,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,327,D,Output1,2,2,3,96 Well Microplate,66,B9,2,25
328,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,328,D,Output1,2,2,3,96 Well Microplate,66,B9,2,25
329,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,329,D,Output1,2,2,3,96 Well Microplate,66,B9,2,25
330,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,330,D,Output1,2,2,3,96 Well Microplate,66,B9,2,25
331,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,331,D,Output1,2,2,3,96 Well Microplate,67,C9,2,25
332,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,332,D,Output1,2,2,3,96 Well Microplate,67,C9,2,25
333,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,333,D,Output1,2,2,3,96 Well Microplate,67,C9,2,25
334,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,334,D,Output1,2,2,3,96 Well Microplate,67,C9,2,25
335,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,335,D,Output1,2,2,3,96 Well Microplate,67,C9,2,25
336,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,336,D,Output1,2,2,3,96 Well Microplate,68,D9,2,25
337,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,337,D,Output1,2,2,3,96 Well Microplate,68,D9,2,25
338,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,338,D,Output1,2,2,3,96 Well Microplate,68,D9,2,25
339,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,339,D,Output1,2,2,3,96 Well Microplate,68,D9,2,25
340,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,340,D,Output1,2,2,3,96 Well Microplate,68,D9,2,25
341,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,341,D,Output1,2,2,3,96 Well Microplate,69,E9,2,25
342,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,342,D,Output1,2,2,3,96 Well Microplate,69,E9,2,25
343,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,343,D,Output1,2,2,3,96 Well Microplate,69,E9,2,25
344,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,344,D,Output1,2,2,3,96 Well Microplate,69,E9,2,25
345,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,345,D,Output1,2,2,3,96 Well Microplate,69,E9,2,25
346,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,346,D,Output1,2,2,3,96 Well Microplate,70,F9,2,25
347,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,347,D,Output1,2,2,3,96 Well Microplate,70,F9,2,25
348,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,348,D,Output1,2,2,3,96 Well Microplate,70,F9,2,25
349,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,349,D,Output1,2,2,3,96 Well Microplate,70,F9,2,25
350,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,350,D,Output1,2,2,3,96 Well Microplate,70,F9,2,25
351,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,351,D,Output1,2,2,3,96 Well Microplate,71,G9,2,25
352,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,352,D,Output1,2,2,3,96 Well Microplate,71,G9,2,25
353,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,353,D,Output1,2,2,3,96 Well Microplate,71,G9,2,25
354,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,354,D,Output1,2,2,3,96 Well Microplate,71,G9,2,25
355,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,355,D,Output1,2,2,3,96 Well Microplate,71,G9,2,25
356,A,SetupPlate1,1,1,3,96 Well Microplate,21,E3,2,,356,D,Output1,2,2,3,96 Well Microplate,72,H9,2,25
357,A,SetupPlate1,1,1,3,96 Well Microplate,8,H1,2,,357,D,Output1,2,2,3,96 Well Microplate,72,H9,2,25
358,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,358,D,Output1,2,2,3,96 Well Microplate,72,H9,2,25
359,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,359,D,Output1,2,2,3,96 Well Microplate,72,H9,2,25
360,A,SetupPlate1,1,1,3,96 Well Microplate,17,A3,2,,360,D,Output1,2,2,3,96 Well Microplate,72,H9,2,25
361,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,361,D,Output1,2,2,3,96 Well Microplate,73,A10,2,25
362,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,362,D,Output1,2,2,3,96 Well Microplate,73,A10,2,25
363,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,363,D,Output1,2,2,3,96 Well Microplate,73,A10,2,25
364,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,364,D,Output1,2,2,3,96 Well Microplate,73,A10,2,25
365,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,365,D,Output1,2,2,3,96 Well Microplate,73,A10,2,25
366,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,366,D,Output1,2,2,3,96 Well Microplate,74,B10,2,25
367,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,367,D,Output1,2,2,3,96 Well Microplate,74,B10,2,25
368,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,368,D,Output1,2,2,3,96 Well Microplate,74,B10,2,25
369,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,369,D,Output1,2,2,3,96 Well Microplate,74,B10,2,25
370,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,370,D,Output1,2,2,3,96 Well Microplate,74,B10,2,25
371,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,371,D,Output1,2,2,3,96 Well Microplate,75,C10,2,25
372,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,372,D,Output1,2,2,3,96 Well Microplate,75,C10,2,25
373,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,373,D,Output1,2,2,3,96 Well Microplate,75,C10,2,25
374,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,374,D,Output1,2,2,3,96 Well Microplate,75,C10,2,25
375,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,375,D,Output1,2,2,3,96 Well Microplate,75,C10,2,25
376,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,376,D,Output1,2,2,3,96 Well Microplate,76,D10,2,25
377,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,377,D,Output1,2,2,3,96 Well Microplate,76,D10,2,25
378,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,378,D,Output1,2,2,3,96 Well Microplate,76,D10,2,25
379,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,379,D,Output1,2,2,3,96 Well Microplate,76,D10,2,25
380,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,380,D,Output1,2,2,3,96 Well Microplate,76,D10,2,25
381,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,381,D,Output1,2,2,3,96 Well Microplate,77,E10,2,25
382,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,382,D,Output1,2,2,3,96 Well Microplate,77,E10,2,25
383,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,383,D,Output1,2,2,3,96 Well Microplate,77,E10,2,25
384,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,384,D,Output1,2,2,3,96 Well Microplate,77,E10,2,25
385,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,385,D,Output1,2,2,3,96 Well Microplate,77,E10,2,25
386,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,386,D,Output1,2,2,3,96 Well Microplate,78,F10,2,25
387,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,387,D,Output1,2,2,3,96 Well Microplate,78,F10,2,25
388,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,388,D,Output1,2,2,3,96 Well Microplate,78,F10,2,25
389,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,389,D,Output1,2,2,3,96 Well Microplate,78,F10,2,25
390,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,390,D,Output1,2,2,3,96 Well Microplate,78,F10,2,25
391,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,391,D,Output1,2,2,3,96 Well Microplate,79,G10,2,25
392,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,392,D,Output1,2,2,3,96 Well Microplate,79,G10,2,25
393,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,393,D,Output1,2,2,3,96 Well Microplate,79,G10,2,25
394,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,394,D,Output1,2,2,3,96 Well Microplate,79,G10,2,25
395,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,395,D,Output1,2,2,3,96 Well Microplate,79,G10,2,25
396,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,396,D,Output1,2,2,3,96 Well Microplate,80,H10,2,25
397,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,397,D,Output1,2,2,3,96 Well Microplate,80,H10,2,25
398,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,398,D,Output1,2,2,3,96 Well Microplate,80,H10,2,25
399,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,399,D,Output1,2,2,3,96 Well Microplate,80,H10,2,25
400,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,400,D,Output1,2,2,3,96 Well Microplate,80,H10,2,25
401,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,401,D,Output1,2,2,3,96 Well Microplate,81,A11,2,25
402,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,402,D,Output1,2,2,3,96 Well Microplate,81,A11,2,25
403,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,403,D,Output1,2,2,3,96 Well Microplate,81,A11,2,25
404,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,404,D,Output1,2,2,3,96 Well Microplate,81,A11,2,25
405,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,405,D,Output1,2,2,3,96 Well Microplate,81,A11,2,25
406,A,SetupPlate1,1,1,3,96 Well Microplate,22,F3,2,,406,D,Output1,2,2,3,96 Well Microplate,82,B11,2,25
407,A,SetupPlate1,1,1,3,96 Well Microplate,5,E1,2,,407,D,Output1,2,2,3,96 Well Microplate,82,B11,2,25
408,A,SetupPlate1,1,1,3,96 Well Microplate,11,C2,2,,408,D,Output1,2,2,3,96 Well Microplate,82,B11,2,25
409,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,409,D,Output1,2,2,3,96 Well Microplate,82,B11,2,25
410,A,SetupPlate1,1,1,3,96 Well Microplate,18,B3,2,,410,D,Output1,2,2,3,96 Well Microplate,82,B11,2,25
